municipality,phase,test,scheduled_time,actual_start_time,actual_end_time,status,probe_asn,network_name,test_runtime_seconds,total_bytes,included_in_mobile_analysis,exclusion_reason,download_kbit_s,upload_kbit_s,ping_ms,average_rtt_ms,retransmit_rate,mlab_server,median_bitrate,connect_latency,minimum_playout_delay,directory_port_success,directory_port_total,directory_authority_or_port_success,directory_authority_or_port_total,obfs4_success,obfs4_total,bootstrap_success,bootstrap_time,tor_progress,failure,measurement_uid,measurement_url,upload_confirmed
taipei,pre,torsf,2026-08-13T13:50:00+08:00,2026-08-13T13:50:12+08:00,2026-08-13T13:50:23+08:00,completed,AS24158,"Taiwan Mobile Co., Ltd.",11,379855,True,,,,,,,,,,,,,,,,,True,6.675468417,100,,20260813055023.349002_TW_torsf_fcb33d814c2a3170,https://explorer.ooni.org/m/20260813055023.349002_TW_torsf_fcb33d814c2a3170,True
taipei,pre,ndt,2026-08-13T14:15:00+08:00,2026-08-13T14:16:03+08:00,2026-08-13T14:16:30+08:00,completed,AS24158,"Taiwan Mobile Co., Ltd.",27,207904007,True,,141997.79902402734,13981.781536386365,27.596,66.036,0,ndt-mlab2-tpe01.mlab-oti.measurement-lab.org,,,,,,,,,,,,,,20260813061630.660453_TW_ndt_f0b58c28cf0d8e2c,https://explorer.ooni.org/m/20260813061630.660453_TW_ndt_f0b58c28cf0d8e2c,True
taipei,pre,dash,2026-08-13T14:15:00+08:00,2026-08-13T14:16:30+08:00,2026-08-13T14:16:48+08:00,completed,AS24158,"Taiwan Mobile Co., Ltd.",18,103393397,True,,,,,,,,75283,0.184370167,0,,,,,,,,,,,20260813061648.989148_TW_dash_ffec009dc6d70372,https://explorer.ooni.org/m/20260813061648.989148_TW_dash_ffec009dc6d70372,True
taipei,pre,tor,2026-08-13T14:25:00+08:00,2026-08-13T14:25:07+08:00,2026-08-13T14:26:16+08:00,completed,AS24158,"Taiwan Mobile Co., Ltd.",69,875364,True,,,,,,,,,,,10,10,10,10,4,14,,,,,20260813062616.596002_TW_tor_8eafc99c080a990a,https://explorer.ooni.org/m/20260813062616.596002_TW_tor_8eafc99c080a990a,True
taipei,event,ndt,2026-08-13T14:35:00+08:00,2026-08-13T14:35:33+08:00,2026-08-13T14:37:27+08:00,completed,AS3462,"Chunghwa Telecom Co., Ltd.",114,150739471,False,unexpected_asn_non_mobile,77456.93726453908,27532.610896733455,9,19.083,0.056050988594975586,ndt-mlab1-tpe01.mlab-oti.measurement-lab.org,,,,,,,,,,,,,,20260813063727.675110_TW_ndt_2c67a2ce827e520b,https://explorer.ooni.org/m/20260813063727.675110_TW_ndt_2c67a2ce827e520b,True
taipei,event,dash,2026-08-13T14:35:00+08:00,2026-08-13T14:37:27+08:00,2026-08-13T14:37:40+08:00,completed,AS3462,"Chunghwa Telecom Co., Ltd.",13,112479418,False,unexpected_asn_non_mobile,,,,,,,87589,0.010783584,0,,,,,,,,,,,20260813063740.311888_TW_dash_9a039c913265a301,https://explorer.ooni.org/m/20260813063740.311888_TW_dash_9a039c913265a301,True
taipei,event,tor,2026-08-13T14:53:00+08:00,2026-08-13T14:53:07+08:00,2026-08-13T14:54:43+08:00,completed,AS24158,"Taiwan Mobile Co., Ltd.",96,11096365,True,,,,,,,,,,,10,10,10,10,4,14,,,,,20260813065443.492387_TW_tor_63dd692bf6048e52,https://explorer.ooni.org/m/20260813065443.492387_TW_tor_63dd692bf6048e52,True
taipei,post,ndt,2026-08-13T15:10:00+08:00,2026-08-13T15:08:39+08:00,2026-08-13T15:10:13+08:00,completed,AS24158,"Taiwan Mobile Co., Ltd.",94,10260442,True,,55.188147100611566,1399.6586262388823,0,0,0,ndt-tpe396982-2250fc46.googleoim.autojoin.measurement-lab.org,,,,,,,,,,,,,,20260813071012.914204_TW_ndt_900e794545876315,https://explorer.ooni.org/m/20260813071012.914204_TW_ndt_900e794545876315,True
taipei,post,dash,2026-08-13T15:10:00+08:00,2026-08-13T15:10:13+08:00,2026-08-13T15:12:48+08:00,completed,AS24158,"Taiwan Mobile Co., Ltd.",155,17663062,True,,,,,,,,0,0,0,,,,,,,,,,generic_timeout_error,20260813071246.770377_TW_dash_a5742736d0c1369b,https://explorer.ooni.org/m/20260813071246.770377_TW_dash_a5742736d0c1369b,True
taipei,post,tor,2026-08-13T15:15:00+08:00,2026-08-13T15:15:04+08:00,2026-08-13T15:17:08+08:00,completed,AS24158,"Taiwan Mobile Co., Ltd.",124,11020570,True,,,,,,,,,,,10,10,10,10,4,14,,,,,20260813071708.085396_TW_tor_5e497f577bda0e7c,https://explorer.ooni.org/m/20260813071708.085396_TW_tor_5e497f577bda0e7c,True
